weighting,variable,level,A0_value,A1_value,smd
unweighted,AGE,continuous,60.88858963220388,54.316060142922055,-0.3504887984647791
unweighted,prior_admissions_90d,continuous,0.49979727772951055,0.27537279524143915,-0.17918899794859353
unweighted,prior_biliary_90d,continuous,0.06901245293947292,0.03455326531455244,-0.15598216425545838
unweighted,prior_pancreatitis_90d,continuous,0.02620909354184767,0.01683258292370606,-0.06464912354236142
unweighted,complete_90d_lookback_proxy,continuous,0.6706342311033884,0.6672311950101202,-0.007231360984027568
unweighted,FEMALE,0,0.43185635679119605,0.3697385269940931,-0.12701088890049367
unweighted,FEMALE,1,0.568143643208804,0.6302614730059068,0.12701088890049356
unweighted,PAY1,1,0.47176368375325806,0.3384278574084018,-0.2741490133762275
unweighted,PAY1,2,0.16365479293368085,0.19426659506794994,0.07992351771680299
unweighted,PAY1,3,0.2974514914567043,0.3813870874468173,0.1779620888495864
unweighted,PAY1,4,0.037966985230234576,0.050848857862778304,0.06256405594011949
unweighted,PAY1,5,0.004257167680278019,0.005989508034202156,0.02426632819849256
unweighted,PAY1,6,0.02351578337677382,0.027655004337229956,0.02621730069785356
unweighted,PAY1,MISSING,0.0013900955690703736,0.0014250898426205131,0.0009333926915436907
unweighted,ZIPINC_QRTL,1,0.2423110338835795,0.2516832582923706,0.021733218184623225
unweighted,ZIPINC_QRTL,2,0.2649290472053287,0.26704944442149614,0.004798828451304685
unweighted,ZIPINC_QRTL,3,0.2557196640602375,0.261121896815234,0.012340679303617546
unweighted,ZIPINC_QRTL,4,0.22493483927019983,0.2091784047255153,-0.038228351685814864
unweighted,ZIPINC_QRTL,MISSING,0.012105415580654503,0.010966995745383947,-0.010660970603542968
unweighted,PL_NCHS,1,0.2749782797567333,0.26405469040439505,-0.024620699847489772
unweighted,PL_NCHS,2,0.2639443961772372,0.25513238878103184,-0.020102251920945672
unweighted,PL_NCHS,3,0.2140457573124819,0.24090214383080671,0.06409853546515949
unweighted,PL_NCHS,4,0.09412105415580654,0.10058242802263621,0.021798144552494222
unweighted,PL_NCHS,5,0.08644656820156386,0.07734726754512784,-0.033188551724216
unweighted,PL_NCHS,6,0.06336518969012453,0.05987442686604155,-0.014517177787210888
unweighted,PL_NCHS,MISSING,0.0030987547060527076,0.0021066545499607583,-0.019472852168558256
unweighted,RESIDENT,0,0.0493773530263539,0.047523648229997106,-0.008633358848438808
unweighted,RESIDENT,1,0.9506226469736461,0.9524763517700029,0.008633358848438967
unweighted,HCUP_ED,0,0.11957717926440777,0.1085959767028791,-0.0345463178031935
unweighted,HCUP_ED,1,0.5865624094989864,0.5801561402784089,-0.01299467552583828
unweighted,HCUP_ED,2,0.2900376484216623,0.3085216241893511,0.04037131524300026
unweighted,HCUP_ED,3,0.0,2.0653475980007436e-05,0.006427114835583342
unweighted,HCUP_ED,4,0.0038227628149435275,0.002705605353380974,-0.019586546243004817
unweighted,ELECTIVE,0,0.9778743121922966,0.9783138502209922,0.0030027964478084586
unweighted,ELECTIVE,1,0.021141036779611933,0.02079805031186749,-0.002393782606303971
unweighted,ELECTIVE,MISSING,0.0009846510280915146,0.0008880994671403197,-0.0031567363010534767
unweighted,AWEEKEND,0,0.7295974514914567,0.719546449667479,-0.02250049082295832
unweighted,AWEEKEND,1,0.2704025485085433,0.28045355033252095,0.02250049082295832
unweighted,HOSP_BEDSIZE,1,0.21754995655951348,0.2036226196868933,-0.034163633527069664
unweighted,HOSP_BEDSIZE,2,0.2909354184766869,0.2783055888306002,-0.027992306858374852
unweighted,HOSP_BEDSIZE,3,0.4915146249637996,0.5180717914825065,0.05313551661133795
unweighted,HOSP_URCAT4,1,0.564668404286128,0.5394894460737742,-0.05064955637398144
unweighted,HOSP_URCAT4,2,0.3513176947581813,0.3954727580651824,0.0913802038149837
unweighted,HOSP_URCAT4,3,0.06275702287865624,0.05283159155685902,-0.04254340335351489
unweighted,HOSP_URCAT4,4,0.021256878077034462,0.012206204304184395,-0.0706069340070152
unweighted,HOSP_UR_TEACH,0,0.21569649580075298,0.2125036143582965,-0.007783842919169359
unweighted,HOSP_UR_TEACH,1,0.7002896032435564,0.7224585897806601,0.048939456870750644
