A,bin_lower,bin_upper,unweighted_n,weighted_fraction
0,0.0,0.05,0,0.0
0,0.05,0.1,12,4.4760860212520815e-05
0,0.1,0.15000000000000002,67,0.0004432034256864442
0,0.15000000000000002,0.2,164,0.0015881940661190415
0,0.2,0.25,429,0.005002258644885604
0,0.25,0.30000000000000004,1073,0.014725062305745698
0,0.30000000000000004,0.35000000000000003,1438,0.024008710368453652
0,0.35000000000000003,0.4,1357,0.026234243033082697
0,0.4,0.45,1679,0.0381620222166541
0,0.45,0.5,2615,0.06570470078568758
0,0.5,0.55,4635,0.12613347113158474
0,0.55,0.6000000000000001,7040,0.20806960166379307
0,0.6000000000000001,0.65,6861,0.2219593278332547
0,0.65,0.7000000000000001,4431,0.15950696575397078
0,0.7000000000000001,0.75,2064,0.08035820099921633
0,0.75,0.8,624,0.026173603503912117
0,0.8,0.8500000000000001,41,0.0018856734077409482
0,0.8500000000000001,0.9,0,0.0
0,0.9,0.9500000000000001,0,0.0
0,0.9500000000000001,1.0,0,0.0
1,0.0,0.05,0,0.0
1,0.05,0.1,<11,8.808604798598318e-05
1,0.1,0.15000000000000002,20,0.000983217705104402
1,0.15000000000000002,0.2,52,0.0022065098697608356
1,0.2,0.25,145,0.005911138167521394
1,0.25,0.30000000000000004,392,0.014998904683419818
1,0.30000000000000004,0.35000000000000003,663,0.023281778732825355
1,0.35000000000000003,0.4,845,0.02805549707114225
1,0.4,0.45,1239,0.03817466690959312
1,0.45,0.5,2256,0.06260161060543366
1,0.5,0.55,5095,0.12700349915123663
1,0.55,0.6000000000000001,9301,0.20456957676828572
1,0.6000000000000001,0.65,11546,0.22530518901051005
1,0.65,0.7000000000000001,9172,0.158525819904613
1,0.7000000000000001,0.75,5513,0.0814917441939833
1,0.75,0.8,2032,0.02524100431059681
1,0.8,0.8500000000000001,145,0.0015531165017579067
1,0.8500000000000001,0.9,<11,8.640366229716956e-06
1,0.9,0.9500000000000001,0,0.0
1,0.9500000000000001,1.0,0,0.0
